Incident,Date/Time of Request,Original Description of Expenditure,Amount Requested,Expenditure Not to Exceed,Approved Amount,Brief Description
22-1989 - CSRD EOC Activation Freshet,2022-06-16,"Requesting Lake levels for the Shuswap Lake are projected to reach over 349m which will result in localized flooding
throughout the SEP coverage area. SEP is providing sand and sandbags to strategic areas around the Shuswap Lake (please refer to the
following Sand and Sandbag Location Map). As residents continue to undertaking measures to protect their properties, SEP will need to
replenish sand and sandbags at each of the locations noted on the map.
Justification: As lake levels are anticipated to reach the 2018 level, SEP is estimating that the same amount of sand and bags will be
required. In 2018, SEP delivered 197 loads of sand which equates to 2,370 yards for a total costs of just under $50,000. Average delivery
charge was $254/load.
Delivery of sand has increased significantly and therefore an average delivery cost for 2022 is estimated at $300/12 yard load.
SEP is requesting funds to cover cost to deliver 1.5 loads of sand to each of the 20 sand locations 1.5 X 20 x $300 = $9,000. to address 22-1989 - CSRD EOC Activation Freshet in Unknown. This is necessary for support emergency response efforts. ",9000.0,10000.0,10000.0,Funding request to support emergency response efforts.
22-1989 - CSRD EOC Activation Freshet,2022-06-16,"Due to 22-1989 - CSRD EOC Activation Freshet at Unknown, Lake levels for the Shuswap Lake are projected to reach over 349m which will result in localized flooding
throughout the SEP coverage area. SEP is providing sand and sandbags to strategic areas around the Shuswap Lake (please refer to the
following Sand and Sandbag Location Map). As residents continue to undertaking measures to protect their properties, SEP will need to
replenish sand and sandbags at each of the locations noted on the map.
Justification: As lake levels are anticipated to reach the 2018 level, SEP is estimating that the same amount of sand and bags will be
required. In 2018, SEP delivered 197 loads of sand which equates to 2,370 yards for a total costs of just under $50,000. Average delivery
charge was $254/load.
Delivery of sand has increased significantly and therefore an average delivery cost for 2022 is estimated at $300/12 yard load.
SEP is requesting funds to cover cost to deliver 1.5 loads of sand to each of the 20 sand locations 1.5 X 20 x $300 = $9,000. is needed. This expenditure will support emergency response efforts. ",9000.0,10000.0,10000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-11,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, AMENDMENT:
The evacuation order has been downgraded to an alert for the properties on the lower east side of
Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns Reach in the CSRD.
Residents have a need for a proper disposal method for their fridges and freezers as a result of spoiled
food and increased bear activity in the area to ensure public safety. Planning has identified a need for a 6
yard, bear proof bin to be placed at a central location of the use of all residents.
The EOC is requesting funds for the rental of a 6yd bin for a two week period. Bin delivery from Salmon
Arm to Adams Lake (across ferry) return and pick up $800.00. Daily rental $5 x 12 = $60. Total request
$660.00.
Amount Requested increased to $1900.00 ( max. 2400.00) from $860.00.
______________________________________________________________________________________________________________________________
Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has been issued for the
properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns Reach in the CSRD. 
On August 3, BC Hydro turned off all power to the properties noted above. This power outage continued until August 9 when it was
determined to be safe to turn the power back on. The EOC Planning Section, through their re-entry planning, have identified that residents
will be faced with food spoilage in their fridge and freezers. In addition, the fire has resulted in higher bear activity in the area. In order to
ensure proper disposal and public safety, Planning has identified the need for a 6 yard, bear proof bin be placed in a central location for
the use of all residents. 
The EOC is requesting funds for the rental of a 6yd bin for a two week period. Bin delivery from Salmon Arm to Adams Lake (across ferry)
return and pick up $800.00. Daily rental $5 x 12 = $60. Total request $860.00. is needed. This expenditure will support emergency response efforts. ",1900.0,2400.0,2400.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-11,"Requesting AMENDMENT:
The evacuation order has been downgraded to an alert for the properties on the lower east side of
Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns Reach in the CSRD.
Residents have a need for a proper disposal method for their fridges and freezers as a result of spoiled
food and increased bear activity in the area to ensure public safety. Planning has identified a need for a 6
yard, bear proof bin to be placed at a central location of the use of all residents.
The EOC is requesting funds for the rental of a 6yd bin for a two week period. Bin delivery from Salmon
Arm to Adams Lake (across ferry) return and pick up $800.00. Daily rental $5 x 12 = $60. Total request
$660.00.
Amount Requested increased to $1900.00 ( max. 2400.00) from $860.00.
______________________________________________________________________________________________________________________________
Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has been issued for the
properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns Reach in the CSRD. 
On August 3, BC Hydro turned off all power to the properties noted above. This power outage continued until August 9 when it was
determined to be safe to turn the power back on. The EOC Planning Section, through their re-entry planning, have identified that residents
will be faced with food spoilage in their fridge and freezers. In addition, the fire has resulted in higher bear activity in the area. In order to
ensure proper disposal and public safety, Planning has identified the need for a 6 yard, bear proof bin be placed in a central location for
the use of all residents. 
The EOC is requesting funds for the rental of a 6yd bin for a two week period. Bin delivery from Salmon Arm to Adams Lake (across ferry)
return and pick up $800.00. Daily rental $5 x 12 = $60. Total request $860.00. to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",1900.0,2400.0,2400.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-11,"Requesting AMENDMENT:
The evacuation order has been downgraded to an alert for the properties on the lower east side of
Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns Reach in the CSRD.
Residents have a need for a proper disposal method for their fridges and freezers as a result of spoiled
food and increased bear activity in the area to ensure public safety. Planning has identified a need for a 6
yard, bear proof bin to be placed at a central location of the use of all residents.
The EOC is requesting funds for the rental of a 6yd bin for a two week period. Bin delivery from Salmon
Arm to Adams Lake (across ferry) return and pick up $800.00. Daily rental $5 x 12 = $60. Total request
$660.00.
Amount Requested increased to $1900.00 ( max. 2400.00) from $860.00.
______________________________________________________________________________________________________________________________
Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has been issued for the
properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns Reach in the CSRD. 
On August 3, BC Hydro turned off all power to the properties noted above. This power outage continued until August 9 when it was
determined to be safe to turn the power back on. The EOC Planning Section, through their re-entry planning, have identified that residents
will be faced with food spoilage in their fridge and freezers. In addition, the fire has resulted in higher bear activity in the area. In order to
ensure proper disposal and public safety, Planning has identified the need for a 6 yard, bear proof bin be placed in a central location for
the use of all residents. 
The EOC is requesting funds for the rental of a 6yd bin for a two week period. Bin delivery from Salmon Arm to Adams Lake (across ferry)
return and pick up $800.00. Daily rental $5 x 12 = $60. Total request $860.00. to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",1900.0,2400.0,2400.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-27,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, The CSRD EOC rental of a rubber tire skid steer and operator to assist with dangerous tree falling to
allow access and improve safety for first responders. This will provide more time for first responders to
concentrate their efforts where needed.
Estimated costs are $225 per hour for 40 hours of work. is necessary. This expenditure supports support emergency response efforts. ",9000.0,12000.0,12000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-27,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, The CSRD EOC rental of a rubber tire skid steer and operator to assist with dangerous tree falling to
allow access and improve safety for first responders. This will provide more time for first responders to
concentrate their efforts where needed.
Estimated costs are $225 per hour for 40 hours of work. is needed. This expenditure will support emergency response efforts. ",9000.0,12000.0,12000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-27,"The CSRD EOC rental of a rubber tire skid steer and operator to assist with dangerous tree falling to
allow access and improve safety for first responders. This will provide more time for first responders to
concentrate their efforts where needed.
Estimated costs are $225 per hour for 40 hours of work. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",9000.0,12000.0,12000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The Anglemont-Squilax Road is completely closed to traffic at this time. We require a barge to bring
supplies (food, meals, fuel and people) over to the north shore Will be docking at Anglemont or St. Ives
and disembarking at whitehead boat launch. I need to get over at a minimum 6 shipments today.
A quote for a day rate for use of the barge is attached. We anticipate one week at this time to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",28000.0,30000.0,30000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The Anglemont-Squilax Road is completely closed to traffic at this time. We require a barge to bring
supplies (food, meals, fuel and people) over to the north shore Will be docking at Anglemont or St. Ives
and disembarking at whitehead boat launch. I need to get over at a minimum 6 shipments today.
A quote for a day rate for use of the barge is attached. We anticipate one week at this time is necessary. This expenditure supports support emergency response efforts. ",28000.0,30000.0,30000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The Anglemont-Squilax Road is completely closed to traffic at this time. We require a barge to bring
supplies (food, meals, fuel and people) over to the north shore Will be docking at Anglemont or St. Ives
and disembarking at whitehead boat launch. I need to get over at a minimum 6 shipments today.
A quote for a day rate for use of the barge is attached. We anticipate one week at this time is needed. This expenditure will support emergency response efforts. ",28000.0,30000.0,30000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Description of Expenditure: Currently the SEP EOC is activated to a level 3 in support of wildfires in our area
including Area F and Area G.
The EOC is requesting funds to cover the purchase of 12 25L gerry cans plus purchase of the fuel and the mix to create the mixed fuel
need to fuel the generators that are running the sprinkler protection units in support of our First Responders.
Fuel is estimated at $2/litre for 300 litres = $600 (includes mix)
Gerry cans = $33ea * 12 = $396 is needed. This expenditure will support emergency response efforts. ",1000.0,1500.0,1500.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"Requesting Description of Expenditure: Currently the SEP EOC is activated to a level 3 in support of wildfires in our area
including Area F and Area G.
The EOC is requesting funds to cover the purchase of 12 25L gerry cans plus purchase of the fuel and the mix to create the mixed fuel
need to fuel the generators that are running the sprinkler protection units in support of our First Responders.
Fuel is estimated at $2/litre for 300 litres = $600 (includes mix)
Gerry cans = $33ea * 12 = $396 to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",1000.0,1500.0,1500.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Description of Expenditure: Currently the SEP EOC is activated to a level 3 in support of wildfires in our area
including Area F and Area G.
The EOC is requesting funds to cover the purchase of 12 25L gerry cans plus purchase of the fuel and the mix to create the mixed fuel
need to fuel the generators that are running the sprinkler protection units in support of our First Responders.
Fuel is estimated at $2/litre for 300 litres = $600 (includes mix)
Gerry cans = $33ea * 12 = $396 is needed. This expenditure will support emergency response efforts. ",1000.0,1500.0,1500.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-26,"Requesting Garbage in the North Shore is creating a huge concern from the increase of predator activity
(bears/cougars/racoons). RCMP, BC Conservation and First Responders are applying pressure to have any and all garbage removed
immediately.
The EOC is requesting funds to cover ongoing front load dumpster garbage management in the North Shore. This includes a fridge and
freezer disposal and recycling program. to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",100000.0,115000.0,115000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-26,"Garbage in the North Shore is creating a huge concern from the increase of predator activity
(bears/cougars/racoons). RCMP, BC Conservation and First Responders are applying pressure to have any and all garbage removed
immediately.
The EOC is requesting funds to cover ongoing front load dumpster garbage management in the North Shore. This includes a fridge and
freezer disposal and recycling program. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",100000.0,115000.0,115000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-26,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, Garbage in the North Shore is creating a huge concern from the increase of predator activity
(bears/cougars/racoons). RCMP, BC Conservation and First Responders are applying pressure to have any and all garbage removed
immediately.
The EOC is requesting funds to cover ongoing front load dumpster garbage management in the North Shore. This includes a fridge and
freezer disposal and recycling program. is necessary. This expenditure supports support emergency response efforts. ",100000.0,115000.0,115000.0,Funding request to support emergency response efforts.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"To mitigate 24-5422 - CSRD EOC Activation - Hullcar fire K41796 risks at Unknown, The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6 and the EOC Agriculture Branch Coordinator has been working with livestock producers to relocate and feed
evacuated livestock. The EOC has been requested to submit a 
separate EAF for each producer. 
PRODUCER:
Ravenwood Acres
Shelley & Brent Work
BC Premise ID BC44F3TGX
Total Transportation (include home trip) 1 trailer load: $340.00
Total Feed & Housing (14 days): $1,463.00
Total EAF Request: $1,803.00
The Livestock Relocation Worksheet is in the BC Ministry of Agriculture and Food SharePoint for 
Columbia Shuswap Regional District. is necessary. This expenditure supports support emergency response efforts. ",1803.0,2000.0,2000.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"To mitigate 24-5422 - CSRD EOC Activation - Hullcar fire K41796 risks at Unknown, The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6 and the EOC Agriculture Branch Coordinator has been working with livestock producers to relocate and feed
evacuated livestock. The EOC has been requested to submit a 
separate EAF for each producer. 
PRODUCER:
Ravenwood Acres
Shelley & Brent Work
BC Premise ID BC44F3TGX
Total Transportation (include home trip) 1 trailer load: $340.00
Total Feed & Housing (14 days): $1,463.00
Total EAF Request: $1,803.00
The Livestock Relocation Worksheet is in the BC Ministry of Agriculture and Food SharePoint for 
Columbia Shuswap Regional District. is necessary. This expenditure supports support emergency response efforts. ",1803.0,2000.0,2000.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"Requesting The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6 and the EOC Agriculture Branch Coordinator has been working with livestock producers to relocate and feed
evacuated livestock. The EOC has been requested to submit a 
separate EAF for each producer. 
PRODUCER:
Ravenwood Acres
Shelley & Brent Work
BC Premise ID BC44F3TGX
Total Transportation (include home trip) 1 trailer load: $340.00
Total Feed & Housing (14 days): $1,463.00
Total EAF Request: $1,803.00
The Livestock Relocation Worksheet is in the BC Ministry of Agriculture and Food SharePoint for 
Columbia Shuswap Regional District. to address 24-5422 - CSRD EOC Activation - Hullcar fire K41796 in Unknown. This is necessary for support emergency response efforts. ",1803.0,2000.0,2000.0,Expense request for EOC activation and operational costs.
24-4683 - CSRD EOC Activation Wildfire 2024,2024-08-14,"Requesting The Shuswap Emergency Program EOC was activated from July 18 to present responding to numerous fires
in our coverage area. Over that period of time, we have been activated under 4 different task numbers.
The EOC requires a temporary contracted employee to provide clerical support to assist the EOC Finance Section. This position is
responsible for organizing, redacting, and copying backup for the response reimbursement claims. The goal is to have response
reimbursement claims completed by the end of September. 
One clerical assistant $35/hr for 35 hours = $1,225.00
One staff to produce the response reimbursement claim. Part-time employee working beyond their regular scheduled hours of work -
$50/hr for 40 hours = $2,000.00
In addition, the Finance Team anticipates 10 OT hours to input and review invoices and approve reimbursement claims. $65/hr X 2 (OT) =
$130/hr X 10 hours = $1,300.00
TOTAL = $4,525.00 to address 24-4683 - CSRD EOC Activation Wildfire 2024 in Unknown. This is necessary for support emergency response efforts. ",4525.0,5000.0,5000.0,Funding request to support emergency response efforts.
24-4683 - CSRD EOC Activation Wildfire 2024,2024-08-14,"The Shuswap Emergency Program EOC was activated from July 18 to present responding to numerous fires
in our coverage area. Over that period of time, we have been activated under 4 different task numbers.
The EOC requires a temporary contracted employee to provide clerical support to assist the EOC Finance Section. This position is
responsible for organizing, redacting, and copying backup for the response reimbursement claims. The goal is to have response
reimbursement claims completed by the end of September. 
One clerical assistant $35/hr for 35 hours = $1,225.00
One staff to produce the response reimbursement claim. Part-time employee working beyond their regular scheduled hours of work -
$50/hr for 40 hours = $2,000.00
In addition, the Finance Team anticipates 10 OT hours to input and review invoices and approve reimbursement claims. $65/hr X 2 (OT) =
$130/hr X 10 hours = $1,300.00
TOTAL = $4,525.00 is required for 24-4683 - CSRD EOC Activation Wildfire 2024 response in Unknown. support emergency response efforts. ",4525.0,5000.0,5000.0,Funding request to support emergency response efforts.
24-4683 - CSRD EOC Activation Wildfire 2024,2024-08-14,"To mitigate 24-4683 - CSRD EOC Activation Wildfire 2024 risks at Unknown, The Shuswap Emergency Program EOC was activated from July 18 to present responding to numerous fires
in our coverage area. Over that period of time, we have been activated under 4 different task numbers.
The EOC requires a temporary contracted employee to provide clerical support to assist the EOC Finance Section. This position is
responsible for organizing, redacting, and copying backup for the response reimbursement claims. The goal is to have response
reimbursement claims completed by the end of September. 
One clerical assistant $35/hr for 35 hours = $1,225.00
One staff to produce the response reimbursement claim. Part-time employee working beyond their regular scheduled hours of work -
$50/hr for 40 hours = $2,000.00
In addition, the Finance Team anticipates 10 OT hours to input and review invoices and approve reimbursement claims. $65/hr X 2 (OT) =
$130/hr X 10 hours = $1,300.00
TOTAL = $4,525.00 is necessary. This expenditure supports support emergency response efforts. ",4525.0,5000.0,5000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
A Communications Officer is being brought in for additional communications support due to the wide-reaching orders and alerts. We
require meals and accommodation for the consultant.
SEP is requesting funds to cover the cost of same from August 22, 2023 until August 27, 2023 at the Fairfield Inn in Salmon Arm, BC
Quoted price is $1,260 plus meals. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",1500.0,1800.0,1800.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
A Communications Officer is being brought in for additional communications support due to the wide-reaching orders and alerts. We
require meals and accommodation for the consultant.
SEP is requesting funds to cover the cost of same from August 22, 2023 until August 27, 2023 at the Fairfield Inn in Salmon Arm, BC
Quoted price is $1,260 plus meals. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",1500.0,1800.0,1800.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
A Communications Officer is being brought in for additional communications support due to the wide-reaching orders and alerts. We
require meals and accommodation for the consultant.
SEP is requesting funds to cover the cost of same from August 22, 2023 until August 27, 2023 at the Fairfield Inn in Salmon Arm, BC
Quoted price is $1,260 plus meals. is needed. This expenditure will support emergency response efforts. ",1500.0,1800.0,1800.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-31,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
Road access is currently restricted for residents in the Electoral Area F due to the wildfire. A barge is currently in use (EAF 2023-51) to
deliver food and other essentials across the lake to 2775 Southwind Rd, St. Ives. Gravel is required at the barge drop off location in St.
Ives so vehicles can access the barge and unload the supplies as there is no boat ramp and the water level is exceptionally low.
24 yards of  minus gravel for road base for a vehicle to reach the barge has been estimated at $1,500 from Turner Trucking. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",1500.0,2000.0,2000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-31,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
Road access is currently restricted for residents in the Electoral Area F due to the wildfire. A barge is currently in use (EAF 2023-51) to
deliver food and other essentials across the lake to 2775 Southwind Rd, St. Ives. Gravel is required at the barge drop off location in St.
Ives so vehicles can access the barge and unload the supplies as there is no boat ramp and the water level is exceptionally low.
24 yards of  minus gravel for road base for a vehicle to reach the barge has been estimated at $1,500 from Turner Trucking. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",1500.0,2000.0,2000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-31,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
Road access is currently restricted for residents in the Electoral Area F due to the wildfire. A barge is currently in use (EAF 2023-51) to
deliver food and other essentials across the lake to 2775 Southwind Rd, St. Ives. Gravel is required at the barge drop off location in St.
Ives so vehicles can access the barge and unload the supplies as there is no boat ramp and the water level is exceptionally low.
24 yards of  minus gravel for road base for a vehicle to reach the barge has been estimated at $1,500 from Turner Trucking. to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",1500.0,2000.0,2000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-12,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. A Reception Centre and
Resiliency Center have also been established to assist residents in the area that were evacuated from their homes and have experienced
losses on their properties during the fire.
The addition of the EOC, Reception Centre, and Resiliency Centre phone lines has caused the CSRD phone system to sporadically crash for
extended periods of time. To ensure a reliable phone system so residents can reach the information and resources they need, an upgrade
of the phone lines from CISCO Phone Systems will be required.
CICSO Phone Systems have quoted the following one-time cost for the job:
30 hours x $215/hour = $6,450 is needed. This expenditure will support emergency response efforts. ",6450.0,8000.0,8000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-12,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. A Reception Centre and
Resiliency Center have also been established to assist residents in the area that were evacuated from their homes and have experienced
losses on their properties during the fire.
The addition of the EOC, Reception Centre, and Resiliency Centre phone lines has caused the CSRD phone system to sporadically crash for
extended periods of time. To ensure a reliable phone system so residents can reach the information and resources they need, an upgrade
of the phone lines from CISCO Phone Systems will be required.
CICSO Phone Systems have quoted the following one-time cost for the job:
30 hours x $215/hour = $6,450 is needed. This expenditure will support emergency response efforts. ",6450.0,8000.0,8000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-12,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. A Reception Centre and
Resiliency Center have also been established to assist residents in the area that were evacuated from their homes and have experienced
losses on their properties during the fire.
The addition of the EOC, Reception Centre, and Resiliency Centre phone lines has caused the CSRD phone system to sporadically crash for
extended periods of time. To ensure a reliable phone system so residents can reach the information and resources they need, an upgrade
of the phone lines from CISCO Phone Systems will be required.
CICSO Phone Systems have quoted the following one-time cost for the job:
30 hours x $215/hour = $6,450 is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",6450.0,8000.0,8000.0,Expense request for EOC activation and operational costs.
22-1989 - CSRD EOC Activation Freshet,2022-06-21,"To mitigate 22-1989 - CSRD EOC Activation Freshet risks at Unknown, Lake levels for the Shuswap Lake are projected to reach over 349m by the end of this week which will result in
localized flooding throughout the SEP coverage area. SEP is providing sand and sandbags to strategic areas around the Shuswap Lake
(please refer to the attached Sand and Sandbag Location Map). The main stockpile of sandbags is presently located at the SEP storage
yard and a forklift is required to move pallets of sandbags from this stockpile onto rental trucks for delivery to the various locations
identified on the Sand and Sandbag Location Map
SEP is requesting monies to cover the cost for the rental of a forklift for a two week period - $800/week for 2 weeks = $1,600. is necessary. This expenditure supports support emergency response efforts. ",1600.0,2000.0,2000.0,Funding request to support emergency response efforts.
22-1989 - CSRD EOC Activation Freshet,2022-06-21,"Due to 22-1989 - CSRD EOC Activation Freshet at Unknown, Lake levels for the Shuswap Lake are projected to reach over 349m by the end of this week which will result in
localized flooding throughout the SEP coverage area. SEP is providing sand and sandbags to strategic areas around the Shuswap Lake
(please refer to the attached Sand and Sandbag Location Map). The main stockpile of sandbags is presently located at the SEP storage
yard and a forklift is required to move pallets of sandbags from this stockpile onto rental trucks for delivery to the various locations
identified on the Sand and Sandbag Location Map
SEP is requesting monies to cover the cost for the rental of a forklift for a two week period - $800/week for 2 weeks = $1,600. is needed. This expenditure will support emergency response efforts. ",1600.0,2000.0,2000.0,Funding request to support emergency response efforts.
22-1989 - CSRD EOC Activation Freshet,2022-06-21,"Lake levels for the Shuswap Lake are projected to reach over 349m by the end of this week which will result in
localized flooding throughout the SEP coverage area. SEP is providing sand and sandbags to strategic areas around the Shuswap Lake
(please refer to the attached Sand and Sandbag Location Map). The main stockpile of sandbags is presently located at the SEP storage
yard and a forklift is required to move pallets of sandbags from this stockpile onto rental trucks for delivery to the various locations
identified on the Sand and Sandbag Location Map
SEP is requesting monies to cover the cost for the rental of a forklift for a two week period - $800/week for 2 weeks = $1,600. is required for 22-1989 - CSRD EOC Activation Freshet response in Unknown. support emergency response efforts. ",1600.0,2000.0,2000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-03,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns
Reach in the CSRD. SEP is requesting funds to cover the cost of a reception centre for evacuees for 7 days beginning August 2,2023 at
Quaaout Lodge in Chase, BC. Quoted price is $600/day. is needed. This expenditure will support emergency response efforts. ",4200.0,5000.0,5000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-03,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns
Reach in the CSRD. SEP is requesting funds to cover the cost of a reception centre for evacuees for 7 days beginning August 2,2023 at
Quaaout Lodge in Chase, BC. Quoted price is $600/day. to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",4200.0,5000.0,5000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-03,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns
Reach in the CSRD. SEP is requesting funds to cover the cost of a reception centre for evacuees for 7 days beginning August 2,2023 at
Quaaout Lodge in Chase, BC. Quoted price is $600/day. is needed. This expenditure will support emergency response efforts. ",4200.0,5000.0,5000.0,Expense request for EOC activation and operational costs.
